"","Description","County Name","State","% Solar Panel Installed","Median KW Potential","% w/ Health Insurance","Property Crime Rate","Net Migration Rate","% w/ Bachelor's Degree","Population Density","% Children w/ Single Parent","% Population Age 45-64","% Female","% White","Entrepeneurship Score","Income per Capita","Belief in Science Score","Risk Taking Score","Religiosity Score","Income Mobility Score","Employment Rate","In Texas","PC1","PC2","PC3","PC4","PC5","PC6"
"29","Fort Bend County, TX","Fort Bend County","TX",0.0966006997023654,14.75,86.86499786,15.91039692,0.74192,27.46865845,734.4575806,0.223508785,25.72010427652,50.9313923576547,54.7337154177467,16.2817552,37134,70,81.53030303,80,0.218918896,95,TRUE,0.906867490255709,0.386640509176585,1.55178465473765,1.82735391315776,1.44829432174049,0.657173842821656
"30","Fresno County, CA","Fresno County","CA",5.13203516109467,15.25,85.82420349,33.66782118,-0.31067,13.07356548,159.233429,0.412906896,21.3537970635601,50.0903312077558,76.5890535591497,11.50790759,21057,71.47435897,73.00936389,70.83333333,-0.674966175,90.6,FALSE,0.0639428432762013,-1.57421120721609,-1.42746949001443,0.432557174453139,-0.164241832738226,1.31505539122832
"31","Galveston County, TX","Galveston County","TX",0.122701477530292,12,84.67365265,28.95491744,-0.23226,18.4195118,797.7324829,0.303272126,26.1288540622379,50.9141021631559,80.2553932758323,11.20930233,32756,65,62.84848485,75.06794672,-0.423953373,94.7,TRUE,0.275701772800444,-0.625457479291202,0.801693373787881,-0.104792073419364,-0.866475583900869,-0.167720444931933
"32","Grayson County, TX","Grayson County","TX",0.00833020950476904,10.75,82.5443573,21.44920912,-0.44516,13.26606941,130.7595673,0.359114715,25.9888996564179,51.099756262297,87.5444160573224,11.6538132,25541,70.69845266,66.67414627,80.48835984,0.088197205,96.2,TRUE,-0.271188385657177,0.695451710287495,0.686727385275242,-0.71632218067755,-1.19720036826256,0.0930198886427667
"33","Gregg County, TX","Gregg County","TX",0.0863798484172983,14.25,79.97162628,38.63898036,0.211,13.53571129,448.9690247,0.396520204,23.3692363548348,51.378433982815,74.43220783412,11.4809591,24386,66.06665411,67.22941263,72.30691072,-0.046327056,93.9,TRUE,-0.456827231533285,-1.02146475895666,0.684693095624869,0.639606652627183,-0.648535760642898,-0.163484401589263
"34","Guadalupe County, TX","Guadalupe County","TX",1.34189728038968,15.75,85.53305054,20.2071024,0.99212,16.65682411,196.4205017,0.286044099,24.9563971782531,50.5265302942217,85.1336853524487,14.99176277,28310,72.52641097,66.31474328,76.22767695,-0.116057955,96.4,TRUE,0.295705555502502,0.449378446021183,0.417522663133682,0.554328811546096,0.386834705919184,1.08944852317203
"35","Hardin County, TX","Hardin County","TX",0.0141193081539005,13.5,82.36435699,13.61443631,-0.3761,11.41295433,61.9985733,0.231893495,25.9140307628207,50.8263601958265,91.5211277386202,12.40310078,28321,68.72760809,65.31551196,79.05713123,0.511743381,93.9,TRUE,-0.385770321179554,1.57074228978163,0.23281716525147,0.0900555754378875,-0.608644928950161,-0.110837123439031
"36","Harris County, TX","Harris County","TX",0.0679351474434366,12.75,77.82236481,38.01232677,-0.10293,18.66327095,2505.395752,0.360277569,23.122975818557,50.3653365723773,69.5621244026245,12.95420722,29850,66.9116025,67.99253277,51.79487179,0.025569638,94.7,TRUE,-0.125742764409784,-1.52217953747375,1.36990331043151,1.25451658666342,0.200306984657073,-1.48642370114974
"37","Harrison County, TX","Harrison County","TX",0.066949341664807,15.75,81.97798157,19.71360593,0.9316,13.37663555,74.41759491,0.341759292,25.0837678241402,50.996949799408,74.9522936606915,9.789569991,23836,60.63167489,70.46444516,72.95108434,0.151860624,93.9,TRUE,-0.738834567432244,0.145882917541048,-0.274966280936093,1.04724869895338,0.0658009480559855,-0.246279427427942
"38","Hays County, TX","Hays County","TX",0.0300372461852697,13.75,85.40805817,18.8301062,4.9108401,25.66703796,251.3470001,0.272823292,21.6937239075377,50.3464514251209,89.9804944589493,16.71018277,28396,75,69.05723906,81.17588849,-0.280566761,96.7,TRUE,0.298874935913267,0.204080665140884,1.72491259027276,-0.450602422469203,1.51930537749651,2.33798204161507
