"","% Solar Panel Installed","Median KW Potential","% w/ Health Insurance","Property Crime Rate","Rural/Urban Score","% w/ Bachelor's Degree","Population Density","% Children w/ Single Parent","% Population Age 45-64","% Female","% White","Income per Capita","Entrepeneurship Score","Belief in Science Score","Risk Taking Score","Religiosity Score"
"28",0.182470160931753,9.25,84.59527588,24.44566475,1,29.04095078,2087.158203,0.30793672,26.2972264356218,51.5272824383897,62.3894777416295,95.4,34891,-0.256012207,13.71933645,68.3082026
"29",0.931397095643465,9.75,83.60573578,31.8446911,3,19.60907936,7.294653416,0.370317003,21.1756670105105,50.7088293512504,65.7385207282054,62.50775431,68.42280984,67.5,64.375,72.83459596
"30",5.09567195843112,21,81.41555023,14.66364454,2,19.34123611,167.3451843,0.351865306,24.7831915656453,50.7279775111587,89.3404035312885,65.86678592,85.22131138,95.2,39616,0.140746823
"31",5.91078847706374,13.75,91.50805664,29.01154449,1,25.18893051,1496.011719,0.261325034,27.0061533073377,51.0902225004031,65.1292645332658,68.33017676,84.04185618,62.22222222,66.53258547,84.8257458
"32",0.641635560760204,6.5,92.50724792,21.66947341,2,26.63438797,340.2646484,0.296638581,27.802768107443,51.5543909722952,91.9966915590689,97.1,35066,0.189751514,12.3330021,73.55066609
"33",0.179073530104774,8.25,91.87268829,23.94761942,2,17.12863731,514.1260986,0.403195905,26.1531661989443,51.5251581931663,71.4673786107747,77.76246512,68.24683611,88.57224208,68.2143364,83.22496627
"34",0.159580100134622,9.25,82.85181427,56.7435009,1,23.94174957,2642.793213,0.448791211,24.7012697271292,52.7925172890187,35.8947816203673,94.6,30517,-0.276389778,13.1371093,68.27772582
"35",0.243997901451496,6.25,92.96935272,20.27049846,1,20.78208351,3050.292969,0.339562421,26.1735836272623,51.8615890335547,68.483820823048,58.6762239,79.56882469,72.03703704,84.12964238,58.44811754
"36",0.328829060268201,8,86.08249664,42.91993303,2,24.75823021,987.46875,0.425799636,23.5411586124521,52.2769123575375,54.0464962922411,70.97222222,68.66666667,11.59204904,-0.613732894,31473
"37",0.275868987310027,8,93.36009979,14.3232953,1,18.35671234,373.7753601,0.265154465,28.9914281247238,50.2963788755277,81.0059207798299,65.49019609,11.22994652,-0.016417913,35101,95.8
"38",0.583588685462636,13.5,86.18716431,39.77146191,1,18.21436501,1154.879028,0.422673334,24.9676587436244,51.5298797709226,60.6026593439867,64.53292542,65,64.31623932,80.51513513,75.56065297
"39",9.67352586181518,15,92.35184479,17.15757301,1,21.26050186,106.2503052,0.231940852,29.7060302940734,50.1366396498706,88.6399817468096,67.03915564,82.1925659,94.9,37089,0.509206853
"40",0.270289522422554,8.25,95.16760254,26.52790166,1,17.15989304,882.9920044,0.376595388,26.5993760762467,51.6018251837919,79.3031908061591,10.53433614,71.42424242,63.18181817,68.60465118,57.77777777
"41",0.474896148520437,14.5,87.20110321,39.73633741,2,15.74624252,462.9388733,0.399301676,24.7675266087787,50.6085148091833,68.8608175523693,72.78280312,74.67723346,68.97865008,72.07902197,85.29265989
"42",2.15778168326499,7,96.53617859,17.03020409,1,22.17670059,1537.736084,0.341784093,27.6974122788118,51.7980213780395,85.0591989698796,0.006409543,37210,96.2,88.10422961,57.67031509
"43",0.581399992013736,6.25,85.02619934,23.21148126,1,19.61203194,6255.672363,0.442656612,26.0321036327795,51.8665790544135,48.8772489752495,-0.461710787,10.93430325,64.23611111,64.84848485,85.03086419
"44",1.01371623004864,7.75,89.94775391,16.11367252,2,25.46639633,1494.825317,0.259390318,28.4183087184576,51.2992244512006,78.3583086336518,79.7718254,82.53527337,80,65.47889386,85.34743202
